date,open,high,low,close
2025-05-25,456.7627,456.7752,454.6960,456.7564
2025-05-26,454.6815,453.3257,452.3850,454.7161
2025-05-27,453.8907,451.9390,448.5029,453.3589
2025-05-28,451.4224,451.5389,445.1176,451.5666
2025-05-29,443.8802,453.1339,444.2692,445.9142
2025-05-30,452.1346,450.8342,448.4730,451.1725
2025-05-31,450.1708,450.1773,450.1491,450.1712
2025-06-01,450.1749,453.8144,450.1570,450.1712
2025-06-02,453.0005,464.0619,451.8820,453.2764
2025-06-03,463.4760,461.2320,456.4838,463.1955
2025-06-04,458.5215,461.3436,457.7530,459.2084
2025-06-05,461.2143,462.5306,456.1933,461.0000
2025-06-06,457.1983,458.4231,450.1642,457.4313
2025-06-07,449.9662,449.9966,449.9326,449.9559
2025-06-08,449.9549,451.3383,449.9326,449.9588
2025-06-09,450.9777,453.4810,449.6430,450.7653
2025-06-10,452.5001,455.3152,449.9998,451.8197
2025-06-11,453.1028,458.9570,452.8002,452.9660
2025-06-12,458.4204,461.0958,454.9703,457.2605
2025-06-13,460.6772,467.3113,463.8617,461.6173
2025-06-14,468.6130,468.6379,468.6096,468.5990
2025-06-15,468.6008,471.0211,468.6037,468.5898
2025-06-16,470.0828,470.0124,462.2132,469.7281
2025-06-17,464.1208,463.4665,460.0676,464.2598
2025-06-18,461.2528,462.9228,459.9293,462.6551
2025-06-19,461.2048,462.7244,459.2021,461.5470
2025-06-20,461.3355,460.7009,457.9802,460.2440
2025-06-21,460.4902,460.6437,460.4365,460.4866
2025-06-22,460.4950,462.7313,460.4335,460.5366
2025-06-23,461.2136,463.8823,461.7885,461.8244
2025-06-24,460.7459,457.2730,454.1615,457.9748
2025-06-25,452.7005,454.5165,451.8782,453.4174
2025-06-26,455.0102,454.2171,451.2323,453.0255
2025-06-27,451.1367,451.5942,443.0500,451.0000
2025-06-28,445.1303,445.1238,445.0748,445.1302
2025-06-29,445.1308,445.4194,441.7736,445.1075
2025-06-30,443.7333,448.5145,443.2123,444.0666
2025-07-01,448.4829,451.4061,448.2492,447.0561
2025-07-02,450.5026,454.1665,452.5323,452.2573
2025-07-03,455.3800,455.8563,450.5984,454.3950
2025-07-04,452.1309,453.4540,453.0051,452.2105
2025-07-05,452.8428,452.8598,452.7291,452.8255
2025-07-06,452.6869,453.4873,451.5153,452.6964
2025-07-07,451.6624,453.5972,449.7828,450.9334
2025-07-08,454.1673,454.6473,448.9878,454.5255
2025-07-09,450.1996,452.8099,449.1911,450.5897
2025-07-10,453.3533,454.3323,452.9697,453.4288
2025-07-11,454.6673,459.9254,455.5609,455.1796
2025-07-12,458.8066,458.8678,458.7542,458.7815
2025-07-13,458.8137,461.1923,458.7596,458.7692
2025-07-14,460.5069,460.7861,457.4480,460.2788
2025-07-15,457.3727,458.8446,454.7109,457.5516
2025-07-16,454.3638,460.1504,454.7453,455.3725
2025-07-17,456.7022,456.6469,452.4576,456.5090
2025-07-18,455.9854,458.1904,455.2253,455.9717
2025-07-19,457.3475,457.3881,457.3235,457.3368
2025-07-20,457.3588,457.0203,456.6979,457.3475
2025-07-21,456.8156,462.6794,456.7285,456.9891
2025-07-22,462.5084,466.3432,460.7701,461.5010
2025-07-23,466.3180,466.7845,460.1914,466.5751
2025-07-24,460.5200,459.6187,455.7892,460.3534
2025-07-25,456.6615,457.1739,452.1343,456.7980
2025-07-26,452.8926,452.9477,452.8694,452.8912
2025-07-27,452.9157,452.9531,451.3798,452.9276
2025-07-28,452.4339,453.7388,449.4947,452.4477
2025-07-29,450.6230,453.3663,451.2913,450.6110
2025-07-30,453.0766,453.1512,446.1067,453.2746
2025-07-31,448.3795,452.1875,450.6711,450.2377
2025-08-01,450.9440,461.1573,452.0331,451.0892
2025-08-02,462.4931,462.4809,462.4696,462.4933
2025-08-03,462.4797,462.6545,461.4953,462.4797
2025-08-04,462.3281,460.6733,460.1779,458.1492
2025-08-05,460.0370,460.7135,456.3486,459.9543
2025-08-06,459.7485,459.3972,457.0099,459.4654
2025-08-07,457.3724,462.2560,458.1837,457.3084
2025-08-08,462.6289,462.3367,461.2712,462.1908
2025-08-09,463.1889,463.1261,463.1309,463.1531
2025-08-10,463.1480,463.4928,462.3411,463.1702
2025-08-11,462.3947,461.3082,456.2667,462.0887
2025-08-12,455.9119,456.1694,454.3215,456.7917
2025-08-13,455.6498,455.5083,454.6770,454.6666
2025-08-14,454.7664,454.1601,451.8829,455.6612
2025-08-15,451.9432,453.2811,452.4914,452.1770
2025-08-16,451.8167,451.8346,451.7130,451.8179
2025-08-17,451.8194,451.9118,450.2570,451.8167
2025-08-18,450.6468,454.8586,452.0910,451.7125
2025-08-19,452.2008,453.9006,450.6483,453.3637
2025-08-20,450.0215,455.0551,450.6455,450.3957
2025-08-21,454.7421,454.2006,451.8998,454.2562
2025-08-22,453.4336,458.8891,452.3451,453.8316
2025-08-23,458.3080,458.3544,458.3279,458.3134
2025-08-24,458.3255,458.3539,457.5511,458.2938
2025-08-25,457.9365,455.2820,455.6141,456.1756
2025-08-26,453.8135,458.7679,454.7984,455.4705
2025-08-27,459.7101,460.7259,459.6443,459.9015
2025-08-28,462.3458,464.0243,460.8693,461.2775
2025-08-29,463.0151,466.4511,462.7602,462.5622
2025-08-30,468.3581,468.3772,468.2938,468.3581
2025-08-31,468.3502,468.9611,467.6970,468.3831
2025-09-01,468.3870,473.4024,467.1952,467.7692
2025-09-02,472.6043,480.4435,472.6295,472.8826
2025-09-03,479.8906,486.2902,480.3008,480.1655
2025-09-04,483.9451,483.2987,478.1915,483.1331
2025-09-05,482.5078,488.8402,481.4473,482.3461
2025-09-06,487.0775,487.0796,487.0818,487.0775
2025-09-07,487.0653,488.2042,486.9933,487.0648
2025-09-08,487.6033,493.8359,486.1108,486.4448
2025-09-09,492.8862,496.2476,491.4941,492.2863
2025-09-10,491.4452,494.5146,491.5931,492.0701
2025-09-11,493.9615,494.4538,490.9120,493.9940
2025-09-12,493.0266,493.3459,492.8703,491.7291
2025-09-13,492.5330,492.5531,492.4972,492.5462
2025-09-14,492.5383,492.9428,491.7154,492.5518
2025-09-15,491.8620,498.2255,490.5709,492.2131
2025-09-16,497.1380,500.5481,497.1492,497.3030
2025-09-17,499.5296,498.3554,493.1331,498.0762
2025-09-18,494.1493,494.5956,490.2471,494.1086
2025-09-19,491.0805,497.1664,492.2167,491.9380
2025-09-20,498.4707,498.4808,498.4373,498.4584
2025-09-21,498.4619,499.3690,498.9240,498.4619
2025-09-22,498.8772,505.7366,499.1292,499.5034
2025-09-23,506.3711,511.2543,505.5004,505.7332
